GSVIVT01000001001								
GSVIVT01000002001	PF00999	PTHR10110	KOG1965			AT3G05030.1	ATNHX2,NHX2	sodium hydrogen exchanger 2
GSVIVT01023569001	PF07797					AT1G25370.1		Protein of unknown function (DUF1639)
GSVIVT01023570001	PF00931,PF00560	PTHR23125	KOG4658			AT4G27220.1		NB-ARC domain-containing disease resistance protein
GSVIVT01023574001		PTHR12606				AT3G06910.1	ULP1A	UB-like protease 1A
GSVIVT01023575001	PF12504					AT5G43830.1		Aluminium induced protein with YGL and LRDR motifs
GSVIVT01023576001								
GSVIVT01023577001						AT4G27220.1		NB-ARC domain-containing disease resistance protein
GSVIVT01023578001								
GSVIVT01023579001	PF00931					AT4G27220.1		NB-ARC domain-containing disease resistance protein
GSVIVT01023582001	PF00847				K09287	AT1G51120.1		AP2/B3 transcription factor family protein
GSVIVT01023583001								
GSVIVT01023584001	PF02297					AT5G58005.1		Cytochrome c oxidase, subunit Vib family protein
GSVIVT01023585001	PF00010	PTHR10014:SF13				AT2G24260.1	LRL1	LJRHL1-like 1
GSVIVT01023587001	PF09465	PTHR12663				AT4G31880.1		
GSVIVT01023590001	PF00171	PTHR11699	KOG2450	1.2.1.9	K00131	AT2G24270.1	ALDH11A3	aldehyde dehydrogenase 11A3
GSVIVT01023591001	PF01248	PTHR11843	KOG3406		K02951	AT2G32060.3		Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
GSVIVT01023592001	PF04641	PTHR12775	KOG3113			AT5G58020.1		
GSVIVT01023595001	PF04857	PTHR10797	KOG0304			AT2G32070.1		Polynucleotidyl transferase, ribonuclease H-like superfamily protein
GSVIVT01023596001	PF04051	PTHR20902	KOG3315			AT5G58030.1		Transport protein particle (TRAPP) component
GSVIVT01023597001	PF05182	PTHR13484	KOG1049			AT5G58040.1	ATFIP1[V],ATFIPS5,FIP1[V],FIPS5	homolog of yeast FIP1 [V]
GSVIVT01023598001								
GSVIVT01023600001	PF03106,PF04500					AT4G30935.1	ATWRKY32,WRKY32	WRKY DNA-binding protein 32
GSVIVT01023602001	PF03352			3.2.2.20	K01246	AT5G57970.2		DNA glycosylase superfamily protein
GSVIVT01023603001		PTHR12651	KOG3129		K06693	AT5G57950.1		26S proteasome regulatory subunit, putative
GSVIVT01023604001	PF02789,PF00883	PTHR11963	KOG2597	3.4.11.1	K01255	AT4G30920.1		Cytosol aminopeptidase family protein
GSVIVT01023605001						AT4G30900.1		DNAse I-like superfamily protein
GSVIVT01023606001						AT4G30900.2		DNAse I-like superfamily protein
GSVIVT01023607001	PF02990	PTHR10766				AT2G24170.1		Endomembrane protein 70 protein family
GSVIVT01023608001	PF00520,PF00027	PTHR10217	KOG0498		K05391	AT5G57940.2	ATCNGC5,CNGC5	cyclic nucleotide gated channel 5
GSVIVT01023609001								
GSVIVT01023610001						AT5G10010.1		
GSVIVT01023612001	PF01553	PTHR10434	KOG2848	2.3.1.51	K00655	AT4G30580.1	ATS2,EMB1995,LPAT1	Phospholipid/glycerol acyltransferase family protein
GSVIVT01023615001	PF05634	PTHR10388				AT5G57930.2	APO2,emb1629	Arabidopsis thaliana protein of unknown function (DUF794)
GSVIVT01023620001	PF02881,PF00448	PTHR11564			K13431	AT4G30600.1		signal recognition particle receptor alpha subunit family protein
GSVIVT01023621001	PF03878	PTHR14083	KOG3094			AT1G30890.1		Integral membrane HRF1 family protein
GSVIVT01023622001	PF00450	PTHR11802	KOG1282			AT4G30610.1	BRS1,SCPL24	alpha/beta-Hydrolases superfamily protein
GSVIVT01023623001	PF02575					AT2G24020.1		Uncharacterised BCR, YbaB family COG0718
GSVIVT01023624001	PF00288,PF08544	PTHR20861	KOG1537	2.7.1.39	K00872	AT2G17265.1	DMR1,HSK	homoserine kinase
GSVIVT01023625001						AT5G57910.1		
GSVIVT01023627001						AT2G24030.1		zinc ion binding;nucleic acid binding
GSVIVT01023629001	PF01679	PTHR21659	KOG1773			AT4G30650.1		Low temperature and salt responsive protein family
GSVIVT01023630001								
GSVIVT01023631001	PF02458					AT5G48930.1	HCT	hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase
GSVIVT01023633001								
GSVIVT01023636001						AT5G57880.1	ATPRD2,MPS1,PRD2	multipolar spindle 1
GSVIVT01023638001	PF02854,PF02847	PTHR23253				AT5G57870.2	eIFiso4G1	MIF4G domain-containing protein / MA3 domain-containing protein
GSVIVT01023641001	PF00012	PTHR19375				AT1G16030.1	Hsp70b	heat shock protein 70B
GSVIVT01023642001	PF05198,PF00707	PTHR10938			K02520	AT4G30690.1		Translation initiation factor 3 protein
GSVIVT01023643001	PF00628,PF03552	PTHR13301:SF1		2.4.1.12	K10999	AT5G17420.1	ATCESA7,CESA7,IRX3,MUR10	Cellulose synthase family protein
GSVIVT01023644001	PF01535	PTHR10483				AT4G30700.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01023645001	PF04484					AT4G30710.1		Family of unknown function (DUF566) 
GSVIVT01023651001	PF02458					AT2G19070.1	SHT	spermidine hydroxycinnamoyl transferase
GSVIVT01023653001						AT2G19070.1	SHT	spermidine hydroxycinnamoyl transferase
GSVIVT01023655001	PF00036	PTHR23056	KOG0034			AT3G18430.2		Calcium-binding EF-hand family protein
GSVIVT01023657001	PF04576					AT5G57830.1		Protein of unknown function, DUF593
GSVIVT01023658001	PF08263,PF00560,PF07714,PF00069	PTHR23258	KOG1187			AT2G24130.1		Leucine-rich receptor-like protein kinase family protein
GSVIVT01023660001	PF00940	PTHR10102	KOG1038	2.7.7.6	K10908	AT2G24120.1	PDE319,SCA3	DNA/RNA polymerases superfamily protein
GSVIVT01023661001		PTHR23258						
GSVIVT01023662001		PTHR23273				AT5G61000.1	ATRPA70D,RPA70D	Replication factor-A protein 1-related
GSVIVT01023663001	PF08646,PF06827	PTHR23273				AT5G08020.1	ATRPA70B,RPA70B	RPA70-kDa subunit B
GSVIVT01023665001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT4G08850.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01023666001	PF08263,PF00560,PF07714,PF00069	PTHR23258	KOG1187			AT4G08850.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01023673001	PF07714,PF00069	PTHR23258	KOG1187			AT4G08850.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01023676001		PTHR23258				AT4G08850.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01023677001	PF08263,PF00560,PF07714,PF00069	PTHR23258	KOG1187			AT1G35710.1		Protein kinase family protein with leucine-rich repeat domain
GSVIVT01023678001	PF10377					AT4G30790.1		
GSVIVT01023679001								
GSVIVT01023680001		PTHR10788				AT4G22590.1		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
GSVIVT01023681001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT1G35710.1		Protein kinase family protein with leucine-rich repeat domain
GSVIVT01023682001	PF10377,PF12179	PTHR13222				AT4G30790.1		
GSVIVT01023683001	PF00450	PTHR11802	KOG1282			AT4G30810.1	scpl29	serine carboxypeptidase-like 29
GSVIVT01023684001	PF06391	PTHR12683			K10842	AT4G30820.3		cyclin-dependent kinase-activating kinase assembly factor-related / CDK-activating kinase assembly factor-related
GSVIVT01023685001								
GSVIVT01023686001		PTHR23258				AT4G08850.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01023687001		PTHR11802	KOG1282			AT2G35780.1	scpl26	serine carboxypeptidase-like 26
GSVIVT01023688001	PF00450	PTHR11802	KOG1282			AT4G30810.1	scpl29	serine carboxypeptidase-like 29
GSVIVT01023689001						AT4G30780.1		
GSVIVT01023690001		PTHR22652				AT4G30840.1		Transducin/WD40 repeat-like superfamily protein
GSVIVT01023691001						AT4G30845.1		
GSVIVT01023693001	PF07719,PF00515	PTHR12601				AT4G28080.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01023694001		PTHR12601				AT4G28080.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01023695001	PF07145	PTHR12601				AT4G28080.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01023696001	PF03006	PTHR20855	KOG0748			AT4G30850.2	HHP2	heptahelical transmembrane  protein2
GSVIVT01023697001	PF00847					AT1G16060.1	ADAP	ARIA-interacting double AP2 domain protein
GSVIVT01023699001	PF08746,PF00856	PTHR22884	KOG1081			AT4G30860.1	ASHR3,SDG4	SET domain group 4
GSVIVT01023703001		PTHR11922:SF2	KOG3179			AT2G23970.1		Class I glutamine amidotransferase-like superfamily protein
GSVIVT01023704001								
GSVIVT01023706001	PF01370	PTHR10366		1.1.1.271	K02377	AT1G73250.1	ATFX,GER1	GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase 1
GSVIVT01023708001	PF08132					AT5G15948.1	CPuORF10	conserved peptide upstream open reading frame 10
GSVIVT01023710001	PF08263,PF00560,PF08693,PF07714,PF00069	PTHR23258	KOG1187			AT2G23950.1		Leucine-rich repeat protein kinase family protein
GSVIVT01023711001		PTHR11227	KOG2110			AT4G30510.1	ATATG18B,ATG18B,G18B	homolog of yeast autophagy 18 (ATG18) B
GSVIVT01023712001						AT5G40940.1	FLA20	putative fasciclin-like arabinogalactan protein 20
GSVIVT01023713001	PF03969	PTHR12169	KOG2383			AT4G28070.2		AFG1-like ATPase family protein
GSVIVT01023714001	PF07651	PTHR22951	KOG0251			AT5G35200.1		ENTH/ANTH/VHS superfamily protein
GSVIVT01023716001	PF07719,PF00515	PTHR22904	KOG4234			AT4G30480.2		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01023718001		PTHR10366	KOG1502			AT2G23910.1		NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01023720001	PF05761	PTHR12103	KOG2470			AT2G23890.1		HAD-superfamily hydrolase, subfamily IG, 5\'-nucleotidase
GSVIVT01023721001	PF01966	PTHR11845	KOG3197			AT2G23820.2		Metal-dependent phosphohydrolase
GSVIVT01023722001								
GSVIVT01023723001	PF03901	PTHR22760	KOG1771	2.4.1.-	K05286	AT5G14850.1		Alg9-like mannosyltransferase family
GSVIVT01023724001	PF05703,PF08458					AT5G57770.1		Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
GSVIVT01023725001	PF02297	PTHR11387		1.9.3.1	K02267	AT1G22450.1	ATCOX6B2,COX6B	cytochrome C oxidase 6B
GSVIVT01023726001						AT2G23810.1	TET8	tetraspanin8
GSVIVT01023730001								
GSVIVT01023731001	PF00892					AT4G30420.1		nodulin MtN21 /EamA-like transporter family protein
GSVIVT01023732001						AT4G30420.1		nodulin MtN21 /EamA-like transporter family protein
GSVIVT01023733001						ATCG00350.1		Photosystem I, PsaA/PsaB protein
GSVIVT01023736001								
GSVIVT01023740001	PF04116,PF12076	PTHR11863				AT5G57800.1	CER3,FLP1,WAX2,YRE	Fatty acid hydroxylase superfamily
GSVIVT01023741001						AT5G57790.2		
GSVIVT01023743001						AT4G30410.1		sequence-specific DNA binding transcription factors
GSVIVT01023744001	PF05703,PF08458					AT5G57770.1		Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
GSVIVT01023746001						AT5G14850.1		Alg9-like mannosyltransferase family
GSVIVT01023747001								
GSVIVT01023748001	PF00931,PF00560	PTHR10588				AT5G63020.1		Disease resistance protein (CC-NBS-LRR class) family
GSVIVT01023749001	PF00583					AT4G28030.1		Acyl-CoA N-acyltransferases (NAT) superfamily protein
GSVIVT01023751001								
GSVIVT01023754001								
GSVIVT01023755001						AT5G65640.1	bHLH093	beta HLH protein 93
GSVIVT01023756001						ATCG01050.1		NADH-Ubiquinone/plastoquinone (complex I) protein
GSVIVT01023763001								
GSVIVT01023765001						ATCG01050.1		NADH-Ubiquinone/plastoquinone (complex I) protein
GSVIVT01023767001		PTHR18958:SF119				AT3G18670.1		Ankyrin repeat family protein
GSVIVT01023768001		PTHR22773:SF38				ATCG01050.1		NADH-Ubiquinone/plastoquinone (complex I) protein
GSVIVT01023771001		PTHR18958				AT3G18670.1		Ankyrin repeat family protein
GSVIVT01023773001		PTHR10909				AT1G06290.1	ACX3,ATACX3	acyl-CoA oxidase 3
GSVIVT01023776001	PF00097	PTHR22764				AT4G30400.1		RING/U-box superfamily protein
GSVIVT01023777001	PF00023,PF00097	PTHR18958	KOG4412			AT5G57740.1	XBAT32	XB3 ortholog 2 in Arabidopsis thaliana
GSVIVT01023779001	PF00036	PTHR23050				AT3G51850.1	CPK13	calcium-dependent protein kinase 13
GSVIVT01023783001	PF00010	PTHR10014				AT4G34530.1	CIB1	cryptochrome-interacting basic-helix-loop-helix 1
GSVIVT01023785001	PF00582					AT2G21620.1	RD2	Adenine nucleotide alpha hydrolases-like superfamily protein
GSVIVT01023786001	PF01095					AT2G21610.1	ATPE11,PE11	pectinesterase 11
GSVIVT01023787001	PF00264,PF12142,PF12143	PTHR11474						
GSVIVT01023788001	PF00804	PTHR19957:SF26				AT2G18260.1	ATSYP112,SYP112	syntaxin of plants 112
GSVIVT01023789001	PF05368	PTHR14194				AT4G34540.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023790001	PF05368	PTHR10366				AT4G39230.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023792001	PF05368	PTHR10366				AT4G39230.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023793001	PF05368	PTHR10366				AT4G39230.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023795001	PF05368	PTHR10366				AT4G39230.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023796001		PTHR15020				AT1G75300.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023797001								
GSVIVT01023798001						AT5G43470.1	HRT,RCY1,RPP8	Disease resistance protein (CC-NBS-LRR class) family
GSVIVT01023800001	PF05368	PTHR10366				AT4G39230.1		NmrA-like negative transcriptional regulator family protein
GSVIVT01023801001	PF01728,PF11861	PTHR10920	KOG1099			AT4G25730.1		FtsJ-like methyltransferase family protein
GSVIVT01023802001	PF03248	PTHR10743	KOG1688			AT2G21600.1	ATRER1B,RER1B	endoplasmatic reticulum retrieval protein 1B
GSVIVT01023803001						AT2G16365.2		F-box family protein
GSVIVT01023804001	PF00571	PTHR13780				AT1G69800.1		Cystathionine beta-synthase (CBS) protein
GSVIVT01023805001	PF00483	PTHR22572	KOG1322	2.7.7.27	K00975	AT4G39210.1	APL3	Glucose-1-phosphate adenylyltransferase family protein
GSVIVT01023806001	PF03297	PTHR12850	KOG1767		K02975	AT4G39200.1		Ribosomal protein S25 family protein
GSVIVT01023807001	PF03492					AT3G11480.1	ATBSMT1,BSMT1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01023808001						AT3G11480.1	ATBSMT1,BSMT1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01023809001						AT3G11480.1	ATBSMT1,BSMT1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
GSVIVT01023810001	PF00004	PTHR23070	KOG0743			AT3G50930.1	BCS1	cytochrome BC1 synthesis
GSVIVT01023812001	PF00186,PF00303	PTHR11549	KOG0673	1.5.1.3,2.1.1.45	K13998	AT2G16370.1	THY-1	thymidylate synthase 1
GSVIVT01023813001	PF02784,PF00278	PTHR11482	KOG0622	4.1.1.20	K01586	AT3G14390.1		Pyridoxal-dependent decarboxylase family protein
GSVIVT01023814001	PF03765,PF00650	PTHR23324	KOG1471			AT2G18180.1		Sec14p-like phosphatidylinositol transfer family protein
GSVIVT01023815001	PF03765,PF00650	PTHR23324	KOG1471			AT2G21520.1		Sec14p-like phosphatidylinositol transfer family protein
GSVIVT01023816001	PF00249	PTHR22929				AT4G39160.2		Homeodomain-like superfamily protein
GSVIVT01023817001	PF00170,PF07716					AT1G75390.1	AtbZIP44,bZIP44	basic leucine-zipper 44
GSVIVT01023818001	PF01535	PTHR10483				AT4G21065.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01023820001	PF00226	PTHR11821	KOG0691			AT4G39150.1		DNAJ heat shock N-terminal domain-containing protein
GSVIVT01023821001						AT2G16385.1		
GSVIVT01023822001						AT4G39140.4		RING/U-box superfamily protein
GSVIVT01023824001	PF00257					AT3G50980.1	XERO1	dehydrin xero 1
GSVIVT01023825001								
GSVIVT01023826001	PF00459	PTHR20854	KOG2951			AT4G39120.1	HISN7,IMPL2	myo-inositol monophosphatase like 2
GSVIVT01023827001	PF01398	PTHR10410	KOG1554	3.4.-.-	K09613	AT1G22920.1	AJH1,CSN5A,JAB1	COP9 signalosome 5A
GSVIVT01023828001	PF00004,PF07728	PTHR23073	KOG0651		K03064	AT1G45000.1		AAA-type ATPase family protein
GSVIVT01023829001								
GSVIVT01023830001						AT5G56550.1	ATOXS3,OXS3	oxidative stress 3
GSVIVT01023831001	PF00899,PF10585,PF02134	PTHR10953	KOG2013	6.3.2.19	K10685	AT2G21470.1	ATSAE2,EMB2764,SAE2	SUMO-activating enzyme 2
GSVIVT01023832001		PTHR10799				AT2G16390.1	CHR35,DMS1,DRD1	SNF2 domain-containing protein / helicase domain-containing protein
GSVIVT01023833001								
GSVIVT01023834001		PTHR13261	KOG3034			AT2G44510.1		CDK inhibitor P21 binding protein
GSVIVT01023835001	PF00023	PTHR18958	KOG4214			AT2G17390.1	AKR2B	ankyrin repeat-containing 2B
GSVIVT01023836001	PF00654,PF00571	PTHR11689	KOG0475			AT4G35440.1	ATCLC-E,CLC-E,CLCE	chloride channel E
GSVIVT01023837001	PF00628,PF03552	PTHR13301:SF1				AT5G64740.1	CESA6,E112,IXR2,PRC1	cellulose synthase 6
GSVIVT01023838001								
GSVIVT01023839001	PF00850	PTHR10625	KOG1342			AT4G38130.1	ATHD1,ATHDA19,HD1,HDA1,HDA19,RPD3A	histone deacetylase 1
GSVIVT01023840001		PTHR10366				AT4G35420.1	DRL1	dihydroflavonol 4-reductase-like1
GSVIVT01023841001	PF01370	PTHR10366	KOG1502			AT4G35420.1	DRL1	dihydroflavonol 4-reductase-like1
GSVIVT01023842001	PF00989,PF08447,PF00069	PTHR22985	KOG0610			AT5G58140.1	NPL1,PHOT2	phototropin 2
GSVIVT01023843001								
GSVIVT01023844001						AT4G38150.2		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01023845001	PF02536	PTHR13068	KOG1267			AT4G38160.2	pde191	Mitochondrial transcription termination factor family protein
GSVIVT01023846001	PF00139,PF00069,PF07714	PTHR23258	KOG1187			AT5G06740.1		Concanavalin A-like lectin protein kinase family protein
GSVIVT01023847001	PF10551,PF04434					AT4G38170.1	FRS9	FAR1-related sequence 9
GSVIVT01023848001						AT4G38180.1	FRS5	FAR1-related sequence 5
GSVIVT01023849001						AT3G09620.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01023850001	PF03552					AT4G38190.1	ATCSLD4,CSLD4	cellulose synthase like D4
GSVIVT01023852001	PF00368	PTHR10572	KOG2480			AT1G76490.1	HMG1,HMGR1	hydroxy methylglutaryl CoA reductase 1
GSVIVT01023854001	PF01369,PF09324,PF02985	PTHR10663	KOG0929			AT4G38200.1		SEC7-like guanine nucleotide exchange family protein
GSVIVT01023855001	PF00749	PTHR10119	KOG1149	6.1.1.17	K01885	AT5G64050.1	ATERS,ERS,OVA3	glutamate tRNA synthetase
GSVIVT01023856001		PTHR10483				AT5G09320.1	VPS9B	Vacuolar sorting protein 9 (VPS9) domain
GSVIVT01023857001	PF03330,PF01357					AT4G38210.1	ATEXP20,ATEXPA20,ATHEXP ALPHA 1.23,EXP20,EXPA20	expansin A20
GSVIVT01023858001								
GSVIVT01023859001	PF01546,PF07687	PTHR11014	KOG2275	3.5.1.14	K14677	AT4G38220.1		Peptidase M20/M25/M40 family protein
GSVIVT01023860001	PF01535	PTHR10483				AT2G03880.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01023861001	PF00295					AT4G18180.1		Pectin lyase-like superfamily protein
GSVIVT01023862001	PF01937	PTHR12280	KOG4584			AT4G35360.1		Uncharacterised conserved protein (UCP030210)
GSVIVT01023863001	PF08246,PF00112	PTHR12411	KOG1543	3.4.22.-	K01376	AT4G35350.1	XCP1	xylem cysteine peptidase 1
GSVIVT01023864001	PF04142	PTHR10231	KOG2234			AT4G35335.1		Nucleotide-sugar transporter family protein
GSVIVT01023865001		PTHR11014:SF1				AT4G38225.3		
GSVIVT01023866001	PF00069,PF00036	PTHR22982	KOG0032	2.7.11.1	K13412	AT2G17290.1	ATCDPK3,ATCPK6,CPK6	Calcium-dependent protein kinase family protein
GSVIVT01023867001	PF00153	PTHR11896	KOG0767			AT2G17270.1	PHT3;3	phosphate transporter 3;3
GSVIVT01023868001	PF00083,PF07690	PTHR11600	KOG0254			AT4G35300.4	TMT2	tonoplast monosaccharide transporter2
GSVIVT01023870001	PF07690,PF01094,PF00497,PF00060	PTHR18966	KOG1052		K05387	AT4G35290.2	ATGLR3.2,ATGLUR2,GLR3.2,GLUR2	glutamate receptor 2
GSVIVT01023871001	PF01490	PTHR22950	KOG1304			AT2G42005.1		Transmembrane amino acid transporter family protein
GSVIVT01023872001	PF00036	PTHR11216	KOG0998			AT1G21630.1		Calcium-binding EF hand family protein
GSVIVT01023873001						AT2G17230.1	EXL5	EXORDIUM like 5
GSVIVT01023874001								
GSVIVT01023875001	PF05742	PTHR17985	KOG2342			AT4G38260.1		Protein of unknown function (DUF833)
GSVIVT01023876001	PF00439	PTHR22881				AT1G20670.1		DNA-binding bromodomain-containing protein
GSVIVT01023877001	PF00069,PF07714	PTHR23258	KOG1187			AT1G20650.1		Protein kinase superfamily protein
GSVIVT01023878001	PF00069,PF07714	PTHR23258	KOG1187			AT2G17220.1		Protein kinase superfamily protein
GSVIVT01023879001						AT1G29500.1		SAUR-like auxin-responsive protein family 
GSVIVT01023880001	PF02519					AT1G29450.1		SAUR-like auxin-responsive protein family 
GSVIVT01023881001	PF02519					AT1G29510.1	SAUR68	SAUR-like auxin-responsive protein family 
GSVIVT01023883001	PF01501			2.4.1.43	K13648	AT4G38270.1	GAUT3	galacturonosyltransferase 3
GSVIVT01023884001	PF01535,PF12349	PTHR10796	KOG1933		K12385	AT4G38350.1		Patched family protein
GSVIVT01023885001	PF01535	PTHR10483				AT2G17140.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01023886001	PF02042,PF00564					AT4G35270.1		Plant regulator RWP-RK family protein
GSVIVT01023887001						AT4G35280.1		C2H2-like zinc finger protein
GSVIVT01023888001						AT2G45250.1		Integral membrane protein hemolysin-III homolog
GSVIVT01023889001								
GSVIVT01023890001	PF00627	PTHR10677				AT2G17200.1	DSK2	ubiquitin family protein
GSVIVT01023891001	PF00240,PF11976	PTHR10677				AT2G17190.1		ubiquitin family protein
GSVIVT01023892001	PF03619	PTHR23423	KOG2641			AT4G38360.2	LAZ1	Protein of unknown function (DUF300)
GSVIVT01023893001	PF04564,PF00514,PF02985	PTHR23315				AT5G42340.1	PUB15	Plant U-Box 15
GSVIVT01023894001	PF01423	PTHR23338	KOG3172			AT1G20580.1		Small nuclear ribonucleoprotein family protein
GSVIVT01023895001	PF00300	PTHR23029	KOG0235			AT4G38370.1		Phosphoglycerate mutase family protein
GSVIVT01023896001						AT2G17030.1		F-box family protein with a domain of unknown function (DUF295)
GSVIVT01023897001	PF03759,PF08057					AT4G38430.1	ATROPGEF1,ROPGEF1	rho guanyl-nucleotide exchange factor 1
GSVIVT01023898001	PF06244	PTHR21680				AT1G16210.1		
GSVIVT01023899001	PF00069	PTHR23258	KOG1187			AT5G63940.1		Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
GSVIVT01023900001	PF00657	PTHR22835:SF27				AT4G28780.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01023901001	PF00657	PTHR22835:SF27				AT5G55050.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01023902001	PF07732,PF00394,PF07731	PTHR11709	KOG1263			AT1G76160.1	sks5	SKU5 similar 5
GSVIVT01023903001								
GSVIVT01023904001	PF07320,PF03168					AT4G35170.1		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
GSVIVT01023905001	PF01490	PTHR22950	KOG1303			AT1G47670.1		Transmembrane amino acid transporter family protein
GSVIVT01023906001	PF01490	PTHR22950	KOG1303			AT1G47670.1		Transmembrane amino acid transporter family protein
GSVIVT01023907001	PF02519					AT1G29450.1		SAUR-like auxin-responsive protein family 
GSVIVT01023908001						AT1G29460.1		SAUR-like auxin-responsive protein family 
GSVIVT01023909001	PF02519					AT1G29500.1		SAUR-like auxin-responsive protein family 
GSVIVT01023910001	PF02519					AT1G29460.1		SAUR-like auxin-responsive protein family 
GSVIVT01023911001	PF02519					AT1G29420.1		SAUR-like auxin-responsive protein family 
GSVIVT01023912001	PF02519					AT1G29450.1		SAUR-like auxin-responsive protein family 
GSVIVT01023913001						AT1G29460.1		SAUR-like auxin-responsive protein family 
GSVIVT01023915001	PF02519					AT1G29420.1		SAUR-like auxin-responsive protein family 
GSVIVT01023916001						AT1G29460.1		SAUR-like auxin-responsive protein family 
GSVIVT01023917001						AT1G29460.1		SAUR-like auxin-responsive protein family 
GSVIVT01023918001	PF01411,PF07973,PF02272	PTHR11777	KOG0188	6.1.1.7	K01872	AT5G22800.1	EMB1030,EMB263,EMB86	Alanyl-tRNA synthetase, class IIc
GSVIVT01023919001	PF03330,PF01357					AT4G38400.1	ATEXLA2,ATEXPL2,ATHEXP BETA 2.2,EXLA2,EXPL2	expansin-like A2
GSVIVT01023920001	PF03641					AT4G35190.1		Putative lysine decarboxylase family protein
GSVIVT01023921001	PF02365					AT2G17040.1	anac036,NAC036	NAC domain containing protein 36
GSVIVT01023922001								
GSVIVT01023923001	PF03087					AT2G17070.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023924001	PF03087					AT2G17080.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023925001	PF03087					AT2G17080.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023927001	PF03087					AT2G17080.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023928001	PF03087					AT2G17080.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023929001	PF03087					AT2G17080.1		Arabidopsis protein of unknown function (DUF241)
GSVIVT01023930001		PTHR23258	KOG1187	2.7.11.1	K14500	AT4G35230.1	BSK1	BR-signaling kinase 1
GSVIVT01023932001	PF04783,PF04782	PTHR21450				AT4G35240.2		Protein of unknown function (DUF630 and DUF632)
GSVIVT01023933001	PF05368	PTHR14194	KOG1203			AT4G35250.1		NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01023934001	PF03138,PF10250					AT1G76270.1		O-fucosyltransferase family protein
GSVIVT01023935001	PF01553	PTHR23063	KOG2898	2.3.1.15	K13506	AT5G60620.1	GPAT9	glycerol-3-phosphate acyltransferase 9
GSVIVT01023936001	PF01476					AT2G17120.1	LYM2	lysm domain GPI-anchored protein 2 precursor
GSVIVT01023937001	PF01476					AT2G17120.1	LYM2	lysm domain GPI-anchored protein 2 precursor
GSVIVT01023938001	PF01554	PTHR11206	KOG1347			AT4G38380.1		MATE efflux family protein
GSVIVT01023939001		PTHR23023	KOG1399			AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
GSVIVT01023941001		PTHR23023	KOG1399			AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
GSVIVT01023942001		PTHR23023	KOG1399			AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
GSVIVT01023944001		PTHR23023	KOG1399			AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
GSVIVT01023946001		PTHR23023				AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
GSVIVT01023948001		PTHR23023	KOG1399			AT1G19250.1	FMO1	flavin-dependent monooxygenase 1
